Waldort,WE-Typ,ST,BE,MA
101E0,WO,"ST 20-25°, im SO Perlgras, örtl vl Bergschwingel - dort STOE 71/72, im N karger Rücken","BE ein HB, mittig durch Schadholzentnahme lichtere Partie, mehr EI im SO an (1), viel absterbende KI im NW, vl Totholz",MA laufend Schäden Käfer 2013/14/16/18/19/20; ZV
101F0,WO,,"BE ES/RO oben, mehr EI lgs (1), Räumden ausgefüllt mit Strauchwerk - v a Kreuzdorn Wildbirne Rose Krächzstrauch FeldAH Robinie, schöne Eibe an Eiche zw Stein 3/1 und 4/1 - Naturdenkmal, abwechslungsreicher ökologisch bedeutsamer Waldort, Biotoptyp B/A",MA belassen
101G1,WO,,,
101G2,WO,,"BE Älteres im N und S ein Spitz-AH, Jüngeres mittig mit eiz UL und älteren EI, sehr inhomogen/ ungleichaltrig, vl Hasel an Zugweg",MA Schäden Käfer 2018; DE
101G3,WO,,,
101H1,WO,,"BE FI-Bon 7-9, mehr BU nahe oberer Str und am Hangfuß, ein LÄ, durch Schadereignisse im S blößig mit etwas BU Zwischenbestand",MA DE 2016; Schäden Käfer 2016/19/20/21; ZV
101H2,WO,,,"MA Schäden Käfer 2018; UE, PA, EG mit LA"
101I0,WO,"ST im N tiefgründigerer Graben mit STOE 81, seichtgründiger nach S hin - dort örtl etw felsig sowie STOE 72/71","BE zlr ES im NW, FI dominant am Graben, FI-Bon 7-9, mehr BU in oberer Hälfte, ein KI/LA, durch Schadholz teils lückige Partien","MA Käferholz 2014/16-20; LI: BU/LA fördern, FI entnehmen"
101J0,WO,,,MA laufend Schäden Käfer / Wind 2015-2020; ZV
101K0,WO,,,MA LI: KI freistellen (Dimensionieren)
101L1,WO,,,
101L2,WO,,"BE ein LÄ, Korsische Kiefer od dgl - eher gering vital, Mistelbefall",MA DF 90 maximal als Pflegeeingriff
10131,NG,,,
10132,NG,,,
102A1,WO,,,
102A2,WO,,,"MA AH DE, davor AG"
102B1,WO,"ST im W steiler und Schutzwaldcharakter, im O flacher mit vl Bergschwingel, STOE 71-81","BE mehr FI am Graben, im W lichter und mehr LH, mehr Vjg im O, lückig, 140jg Umtrieb wg KI, SL= ES, LI, UL, KB",MA Nutzung der FI im Graben schon möglich
102B2,WO,ST vernässter Hangbereich; verkrautet,"BE bis 5 J älter, viel Holler, viel ES Ausfall durch Triebsterben, inhomogen","MA DE mit Holz verbleibt am Waldort, UL fördern!"
102C0,WO,,,
102D0,WO,"ST Gräben STOE 72, Rücken STOE 71/61, Rücken felsig mit örtl kleinen Wollsäcken, im N und S flacher, mittig steiler, vergrast","BE -10/+5 J, ein EI, auf den Rücken mehr KI, in den Gräben mehr FI, FI-Bon 5-7, KI-Bon 3-5, unter Schirm ungleichalte NVJ aufkommend","MA DF 2011, laufend Schadholzanfall 2014-2030; ZV"
102E0,WO,,,MA Schäden Käfer 2018/20; DF ende Dezennium
102F0,WO,,,MA Schäden Käfer 2018/20/21; ZV
102G0,WO,,,MA Schäden Käfer/Wind; ND im O
10231,NG,,,
103A1,WO,,,"MA laufend Schadholz, neues Käfernest ZE"
103A2,WO,ST eben starke Verkrautung mit Brombeere,BE 2012 mit LA AF und gezäunt,"MA AF 2012, Düngung 2013/14, JP 2012-2015; DP 2017, DE"
103B1,WO,,"BE ein LH im S, sehr labil, im O Lücke mit LA AF","MA ZE, bejagen (LA schützen)"
103B2,WO,,,"MA DE 2015, DF"
103C0,WO,"ST STOE 71/72, im O flacher, örtl felsig am N-Rand, wesentlich steiler als Nachbar-Waldorte","BE BU-LI-UE etwa in Mitte, im O älter und sehr dicht mit FI, im W jünger sowie recht inhomogen, lückig an B2, SL=AS/RO/QP/HB; LH sehr protzig",MA DE 2015; DF
103D1,WO,"ST unten örtl STOE 72, mit steigender Höhe karger","BE Jüngeres in S-Hälfte, Älteres in N-Hälfte, fließender Übergang, ein Alt-BU-KI im O","MA DF 2015 erfolgt, Schäden Wind 2015/16/20 ; DF mitte Dezennium"
103D2,WO,"ST ein bemooste Wollsäcke, karge Elendskuppe","BE +/- 10 J, eiz BU im O, teils Standort SW!","MA DE 2015, DF ende Dezennium kontrollieren"
103D3,WO,,"BE eiz BU im W an Str und im O, ein KI, ein jüngere TA unter Schirm",MA DE 2014/15; DF TA/KI fördern
103E1,WO,,,"MA laufend Schadholz 2012-2016, 2019-2021; ZV"
103E2,WO,,,MA DE 2013; AG
103F0,WO,,,
103G1,WO,,,"MA laufend Schadholz 2012/13/16/17/20, DE 2015 auf 0,2 Ha, weitere DF erforderlich"
103G2,WO,,,"MA Schutz gegen Wild 2012; DP 2015; AG 2015/21; DE DG, AG LH!"
103G3,WO,,,
10331,NG,,,
10332,NG,,,
10341,NG,,,
10381,NG,,,
10382,NG,,,
104A0,WO,"ST im W etw flacher und tiefgründiger, im O steiler, im S Steinschlagschutzwall im Zuge des Str-Baus 2005",,MA DF 2013; DF/ZV Schadholz aufarbeiten
104B0,WO,,"BE im O mehr EI - diese mit guter Qualität, im W mehr BU, S-Spitz etw jünger, ungepflegt, Zwischenbestand absterbend",
104C0,WO,,,
104D0,WO,,"BE unten mehr FI mit ein TA, durch absterbende KI lückig","MA Schäden Käfer 2018/19/20; DF! QP fördern, Schadholz entnehmen"
104E0,WO,,,
104F0,WO,,,
104G0,WO,,,
10431,NG,,,
10432,NG,,,
10441,NG,,,
105A1,WO,"ST felsige Rücken und Gräbchen wechselnd, STOE 71/72, schöne Wollsäcke in N-Hälfte, kl Quelle am W-Rand","BE stabiler Eindruck, streifenweise FI-reicher - u a am W-Rand, TA mit TA-Vjg im O, jüngere Partien im N an Str - dort sehr inhomogen",MA belassen ZE
105A2,WO,,"BE oben reine DG-Horste - dort ein stk FI und Holler, unten mehr LH - dort DG bedrängt, DG ungeastet - jedoch feinastig, ein KI-UE nahe Stein 3/3, SL = v a ES, eher inhomogener Waldort",MA DF: DG fördern mit geringem Massenanfall
105A3,WO,"ST steiniger Rücken, einige Wollsäcke, unten vl Brombeere","BE +/- 10 J, viele verschiedene Sträucher (Berberitze, Weißdorn, Holler etc.) einz. Wildobst und Weiden, Ökofläche","MA Sukzession, belassen"
105B1,WO,ST STOE 71/72,"BE etw jünger im SW - dort FI-reicher, VJ -5/+15 J, Plenterwaldartig","MA DF Frühjahr 2011, Schäden Käfer/Wind 2018/20; ZV"
105B2,WO,ST karge Kuppe mit STOE 61 etwa in Mitte - dort auch Fels,"BE älterer KI-Streifen westlich Kuppe, fließende Übergänge, jüngere KI-Partie östlich Kuppe, sonst FI dominant, im NO lückig, ein TA/LA/BU, viele TA Keimlinge am Boden","MA DE 2014/15, laufend Schadholzanfall 2015-2020; vorsichtige DF notwendig, ZV"
105C1,WO,,"BE EI unten, oben reine KI, im SO etw älter mit FI, FI NVJ unter Schirm einz. KB rund um Mutterbaum, FI im Altbestand ausfallend","MA ZV 0,0 30 0 3 1 2 4 35"
105C2,WO,"ST felsig, flächig Besenginster teils mit Brombeere, örtl STOE 71, zahlreiche Trockenzeiger","BE Götterbaum-Jgw partienweise fast rein, KI durch Komplexkrankheit ausfallend (Mistelbefall, Trockenheit, Waldgärtner, Schütte, Splintholznematode?)","MA stark DF 2005; Käferholz 2017-2019; Eichen Voranbau überlegenswert, DG wegen N2000 nicht möglich"
105C3,WO,"ST STOE 71/72, vl Besenginster im SO","BE DG aus Auff 2005, mittig mehr DG, im SO mehr KI, SL= RE/AS/WD/QP, ein KI-FI-TA-Vorwüchse, LÄ-UE, ehem vl Götterbaum im NW","MA DP 2011/14/15, AG 2014/15; DP/DE 90 TA freistellen, Götterbaum niederschneiden"
105D0,WO,"ST 71/72, Dauerwaldcharakter","BE im SW etw älter, Jüngeres -5/+15 J, einz. BI beigemischt, flächig verjüngt mit erfreulich hohem TA Anteil","MA DF Frühjahr 2011, Schäden Käfer 2016/18/19/20/21; Ende Dezennium PL/SB, ZV"
105E1,WO,,"BE im N viel TA, FI horstweise, ein LÄ, KI/FI teils absterbend, schöne TA NVJ","MA Schäden Käfer 2016/18/19/20, DF TA unbedingt fördern"
105E2,WO,ST STOE 71/72,"BE im S vmtl älter, aufkommende NVJ unter Schirm, gut bekronte FI; einz. LA",MA DF 2005/11; weitere DF möglich
105E3,WO,"ST v a unten vl Himbeere, im S hübsche Wollsäcke ""Schlössl"", im S Waldrebe und Brombeere","BE teils gezäunt, LH teils etwas älter, einz. LA, SL = BI/PO/WD/RE, Artenreich","MA AF DG 2006/07, Schutz gegen Wild 2012-2015, JP 2012/13, DP 2017; Waldrebenbekämpfung"
105F1,WO,"ST muldig, 25-30°, unten stark verkrautet mit Brombeere und Brennessel",,"MA ZE 2017/18, AF 2018; JP/KE"
105F2,WO,,,MA JP LH freistellen
105F3,WO,,,
105G1,WO,,"BE ausgezeigt, alte Käferbäume, vl Totholz, RE minderer Qualität","MA DE 2015, Schäden Käfer 2015; alte Käfernester DF"
105G2,WO,,,
105H0,WO,"ST in Mitte verkrautete Blöße, im N trocken und felsig","BE durch Käferkalamität FI nahezu Totalausfall, im O noch vorhanden, einige QP am W-Schlagrand","MA AF 2018, JP/EG, ZE"
105I1,WO,,"BE unten mehr LI und ein EI sowie voll bestockt, oben verlichtet - LÄ dort sowie protziger BU-Jgw",MA DF Kronenpflege von LH
105I2,WO,,"BE ein EI/LI, FI eher oben, teils absterbend es NH, KI teils geringe Kronen",MA ND KI Kronenpflege
105I3,WO,,,
105J0,WO,,,
105K0,WO,"ST sanfte Grabeneinhänge, unten meist flacher und tiefgründiger, nach oben hin steiler und seichtgründiger, gezäunte Quellfassung im N, örtl Felsen/Blockwerk","BE ungleichalt, teils +10J. , KI im N, FI horstweise ausgefallen nun stehendes Totholz, SL=LI/UL/ER bei Graben und nahe Quellfassung älter, ein ER und mächtige Alt-ES im SW - dort auch eiz Eiben",MA DF LH Kronenpflege
105L0,WO,"ST unten felsig, etwa mittig Blockhalde - dort STOE 62, Grenze zu K0 gezäunte Quellfassung","BE mittig mehr LH, FI durch Käfer Totalausgefall, nun stehendes Totholz darunter verstraucht mit Holler","MA Sukzessionsfläche, belassen"
105M0,WO,ST stark verstraucht und verkrautet mit Springkraut und Holler,"BE durch Käferkalamität entstanden, Bestandesreste, ungleichalt, LA/KI gering vital; mit DG ergänzt","MA DE 2013, ZE 2018; AF 2018; Schutz gegen Wild 2018-2020, JP 2019/20; Rüsselkäferbekämpfung 2018; Düngung 2021; JP"
10531,NG,,,
10532,NG,,,
10581,NG,,,
106A0,WO,,,
106B0,WO,,,
106C0,WO,,"BE ES LI unten, ein Eiben an den Felsen, Jüngeres -10/+20 J - unten, mehr KI am felsigen Rücken im O, oft Krüppelwuchs, Totholz, Trockenbiotop, Smaragdridechse",
106D0,WO,,"BE unten mehr TA, mehr HB im NW, ehem EI-HB-BU-ES ausgefallen, s stk BU EI KI ganz oben, mächtige LI etwa in Mitte, Totholz, Biotoptyp N/B",MA PL gemeinsam mit E0 nutzen
106E0,WO,"ST mittig steiler, im W flacher, oben ein Blockwerk, im O kleiner Parkplatz - dort beliebter Defäkationsplatz, Objekt-SW da L-Str, alter Zaun (Steinschlagnetz?)","BE TA grtls im W, eiz KI, tls mächtige Spitz-AH im O an Parkplatz, EI mit guter Qualität, teils absterbend, da geringe Kronen, TA/HB teils jünger",
106F0,WO,"ST vl Felsen, vl Schutt, STOE 62/61, 35-45°, oft ungangbar, zlr Felsrasenarten, Besuch des Schanzriedels empfehlenswert - dort schöne Ausblicke ins Kremstal; Smaragdridechse",,
106G0,WO,,,MA Brennholznutzung im S möglich
106H0,WO,,"BE mehr BU am W-Rand, einz HB/JN/FI beigemischt, vl Lagerholz, 160jg Umtrieb wg Abgelegenheit, unbringbar","MA DF an sich erwünscht, DF 90?"
106I0,WO,,"BE ein EI/KB/SA, mehr LH im W, DG v a in Mitte bedrängt, DG örtl schütter, bis 2 m geastet, BU-EI-UE an G","MA DG bereits von selbst differenziert, DF dringend"
106J0,WO,,,
106K0,WO,,"BE mehr KI im O, Rob sowie eiz TA im W, ungleichalt, KI teils absterbend","MA DF erwünscht, Einzelstammentnahme"
10681,NG,,,
10682,NG,,,
10683,NG,,,
10684,NG,,,
107A1,WO,,"BE KI horstweise etwa in Mitte, LÄ eher im W, im N örtl Plaiken mit Rentierflechte, einzelne jüngere BU aufkommend","MA DE 2012/13, DF LA/KI fördern"
107A2,WO,,"BE ein SL=AS/BU/QP/RE; einige TA beigemischt, FI labil, unter Straße mehr DG","MA DG geastet, DE 2007/15, Schäden Käfer 2020/21; DF"
107B1,WO,,,
107B2,WO,,"BE ungleichalt, strukturiert, FI-Teile lichter und verkrautet, LÄ bei KI - bedrängt und tls ausgefallen, ein BU SL BI, Lücken vetjüngt",MA DF 2007; belassen
107B3,WO,"ST im S etw steiler, in Mitte imposante Wollsäcke dort karg und STOE 61, im O flacher","BE ein EI BU HB, eiz Spitz-AH im S, an Felsen ältere KI/QP/LH, dort auch viel stehendes Totholz","MA DE 2007/12/13, DG geastet, DF"
107C1,WO,,"BE im N lückige Partien - sonst voll bestockt, reine HB im SW, FI im O, einz. TA, einige alte QP; SL = AS/LI/UL/SA, schöner Laubwald","MA belassen, max. händisch Brennholznutzung"
107C2,WO,,,
107D1,WO,ST STOE 72/71 verstraucht,"BE fast flächig mit Holler unterstellt, N-Rand lichter - dort mächtige Spitz-AH (BHD bis 70 cm)",MA HB als Brennholz nutzen gute Qualitäten fördern
107D2,WO,,,"MA DE, Monosäulen entfernen!"
107D3,WO,"ST örtl Bingelkraut, verstraucht und mit Waldrebe überwuchert","BE Spitz-AH-Horst ganz unten, ST = v a Holler, Holler - Dschungel, HB teils Doppelt so alt, sehr inhomogen","MA Waldrebenbekämpfung, Holler abstocken LH fördern"
107E0,WO,,,
107F0,WO,,,
107G0,WO,"ST STOE 72/71, Rücken und Graben","BE BU eher im O, TA eher in Mitte, eher inhomogen, in Graben bessere Bedingungen dort nahezu reine FI",MA DF
107H0,WO,,,
107I1,WO,,"BE ein KI, NH horstweise im W und SO fällt zunehmend aus","MA DF, NH entnehmen, BU Kronenpflege"
107I2,WO,,"BE bis 10 J älter im S, sonst bis 5 J jünger, im SO mehr LH mit ein LH-UE, ein LÄ, kl Lücke im NO; NH fällt zum Teil aus, viel Totholz",MA DF erforderlich
107J0,WO,,"BE Älteres eher oben, im S örtl reine HB, ein LÄ TA FI AH RO, sehr karg und trocken",
107K1,WO,,"BE FI bei den BU-UE zurückgeblieben, ein HB ES QP, ein DG im S, ein Blau-FI im N, gut bekront, weitständig und stabil","MA DF spätesrens mitte Dezennium, gute H/D Verhältnisse erhalten"
107K2,WO,,"BE dicht und ungepflegt, zlr EI, ein Alt-KI, LH-Horst im S, horstweise mehr DG jedoch nur noch sehr geringe Kronen, SL = QP/KB/ES/SA","MA AG 2012, dringend DF Stabilitätspflege"
10731,NG,,,
10781,NG,,,
10782,NG,,,
10783,NG,,,
108A1,WO,"ST oben seichtgründiger mit ein Wollsäcken, Verebnung an Str","BE TA unten - dort stk KI, oben schwache KI mit einz LÄ, lückig an Str; gut aufkommende NVJ, TA leider stark verbissen; SL = EE/QP/HB/BU, etwas stehendes Totholz","MA LI/ZV um VJ weiter zu fördern, bejagen"
108A2,WO,,,MA späte DF! Mistelbefall an KI
108A3,WO,,,"MA dicht, unbedingt Stabilitätspflege, DF: KI/BU fördern"
108B0,WO,"ST STOE 71/61, im N etw steiler, mittig alter Zugweg","BE im S bis 40% GK - dort auch ein TA KI FI, LÄ-Partie mittig am W-Rand, im N grtls DG","MA DG geastet, DE 2005/17; DF"
108C1,WO,,"BE ein LÄ, verjüngt Lücke im W",MA DE 2007; DF
108C2,WO,,"BE Auff 2004, randlich ein FI-LÄ-Vorwüchse - v a im W, SL= KB/BI/Aspe, LÄ-UE",MA DP 2012/14; DE
108D0,WO,,,
108E0,WO,,"BE unten nahezu reine DG, AG oben, geastet, DG/AG teils dürr",MA DE 2007; DF notwendig
108F0,WO,,,
108G1,WO,,,MA dringende DF notwendig! gemeinsam mit G2 und D1 seilen
108G2,WO,,,"MA zu Demonstration belassen, DF?"
108H1,WO,,"BE im N angeblich 20 J älter - dort mehr FI-TA-Unterschicht, im S angeblich 10 J jünger dort überbestockt mit vl abgestorbenem KI, ein BU-KI-UE, ein LÄ im S, kl Blöße im SO",
108H2,WO,,,
108I0,WO,"ST 2 Teile, steiler im W, flacher im O","BE BU im W, FI im O, einz ältere TA, TA VJ stark verbissen, ober Traktorweg bis 10J älter",
108J1,WO,ST Dauerwaldcharakter,"BE viel vitale TA, lichter im W, dichter im O, Unterschicht +/- 10 J",MA ZV
108J2,WO,ST 2 Teile im O etwas jünger,"BE bis 5 J jünger, ein LÄ KI TA, eiz BU-UE","MA DE 2007/2013, DF mitte Dezennium"
108J3,WO,,,
108J4,WO,,,
108K1,WO,,,"MA DE 2013, LI 2013/14, weitere JF und DP"
108K2,WO,,"BE im SW etw älterer Streifen mit vorwüchsiger LÄ, im N etw jünger mit nahezu reiner FI, mittig KI-reichere Partie","MA DE 2007; DF unbedingt erforderlich, um LA zu erhalten"
108K3,WO,ST vergrast und verkrautet,BE durch Schadereignis entstanden,MA nach Schlagruhe mit DG EG
108K4,WO,,,"MA Schäden Käfer 2017, DE/DF Gute Mischung erhalten"
108K5,WO,,,
108L0,WO,,BE Unterschicht -10/+30 J,"MA absterbende KI entnehmen, TA fördern"
108M1,WO,,"BE viel TA, Unterschicht +/- 10 J, sehr inhomogen - Dauerwaldcharakter, einzelne LA, im S Schadholzblöße","MA DF, einzelne Ta/FI/KI entnehmen"
108M2,WO,,,
108N0,WO,,,
108O0,WO,,"BE etwa 10 J älter im NO - dort fast reine KI, örtl mehr FI LÄ - siehe Karte, ein TA, Unterschicht +/- 10 J mit örtl mehr FI bzw mehr TA, eiz BU, KI absterbend","MA sehr dicht, LA mit Fahnenkronen und ungepflegt, ND/DF unbedingt erforderlich"
108P0,WO,,,
108Q0,WO,,,MA DE Brennholz
108R0,WO,,,"MA DF LA freistellen, Stabilitätspflege"
10831,NG,,,
10832,NG,,,
10833,NG,,,
10841,NG,,,
10851,NG,,,
10881,NG,,,
10882,NG,,,
109A1,WO,,"BE ein BU, AH eher im W, Rot-EI eher in O-Hälfte, ältere FI-TA-KI-Partie im SW an Weg, DG geastet",MA DF dringend
109A2,WO,,,
109A3,WO,,,
109B1,WO,,,
109B2,WO,,,
109C1,WO,,,
109C2,WO,,"BE im O und N etw älterer, geastet, oben mehr LH","MA DE 2007 im O, DE 2015, Schäden Käfer 2016; DF"
109C3,WO,,,
109C4,WO,,"BE Apfelbäume, Äpfel sehr schmackhaft, im W tlw Lagerplatz",
109D0,WO,,"BE ein FI im N, lichter Streifen mit ein Alt-KI im SW, REI-Horst im O an Weg","MA geastet, DE 2009 in NO-Hälfte, DE 2015 in SW-Hälfte; DF LH fördern"
109E1,WO,,"BE NH azsfallend, ein kl Lücken mit BU-Vjg, viel Totholz QP mit teils erfreulich guter Schaftqualität, im O an L0 einige FI/TA/LI",
109E2,WO,,"BE KI/FI ausfallend durch Trockenstress und Käfer, sowie flächig verstraucht - v a mit Faulbaum - auch Wacholder, einz. DG/TA/LI beigemischt","MA vorzeitige Nutzung der KI/FI überlegenswert, DG wegen N2000 nicht einbringen!"
109F1,WO,,"BE Jüngeres im SO mit fließendem Übergang, einz. LA mit geringen Kronen","MA DF 2004 im NW, DF"
109F2,WO,,"BE im NW fast reine EI - diese bis 10 J jünger, im SO grtls HB - diese bis 20 J älter, beeindruckender Spitz-AH etwa 10 m westlich Stein 13, an Grenze zu Feld alte HB/KB/SA/QP",MA DE
109F3,WO,,,
109F4,WO,,,
109F5,WO,,,
109G1,WO,,,
109G2,WO,,,"MA DF 2004, Schäden Käfer 2020/21; DF"
109H1,WO,,"BE KI LÄ grtls oben, unten reine FI mit Bon 8, zlr LH am Unterhang, EI-UE im W","MA DE 2013, WP 2013; DF ab mitte Dezennium"
109H2,WO,,"BE +/- 10 J, ein EI, s inhomogen, Grabeneinhang, SL = UL/HB/KB/ES/WD",
109H3,WO,,,
109I0,WO,"ST kleiner karger felsiger Rücken, VJ Kegel gezäunt",,
109J0,WO,,"BE im NW weitständig - dort verstraucht und Waldrebe, tlw geastet, im SW tls überschirmt von TA-LI-BU-UE, SL=RO/UL/BU teils jünger, BZ : N2000 entsprechend","MA WP 2013, DE 2014/15; DF"
109K1,WO,,,
109K2,WO,,,
109L0,WO,,"BE inhomigen, oben 1 BU 9 DG, untere Hälfte LI-EI-UE - dort NH bedrängt, DG dort geringwüchsig und ausfallend","MA AG 2012, DE 2014; DF"
109M0,WO,,,"MA Schäden Käfer 2020, SB KI/FI entnehmen"
109N0,WO,,,
109O1,WO,,,
109O2,WO,,,
109O3,WO,,"BE eiz TA, Jüngeres +/- 20 J, sehr inhomogen, im N mehr Älteres, im O an Weg dichter FI Horst",MA FI Horst DF
10931,NG,,,
10932,NG,,,
10941,NG,,,
10942,NG,,,
110A0,WO,,,
110B0,WO,,,
110C0,WO,,,
110D0,WO,,"BE KI randlich, Holler in Lücken, mächtige HB im unteren Bereich - Naturdenkmäler, Biotoptyp N/B, viel liegendes Totholz, LRV",
110E0,WO,,,
110F0,WO,"ST felsig lgs (5), unten steiler, oben flacher, Schwalbenwurz Besenginster","BE mehr KI oben, mittig am lichtesten, Totholz, ökologisch bedeutsames TA-Relikt auf Trockenstandort, leider starker Mistelbefall an TA/KI",
110G0,WO,,,
11081,NG,,,
11082,NG,,,
11083,NG,,,
11084,NG,,,
156A0,WO,,,
156B1,WO,,,
156B2,WO,,,
156C0,WO,,,
156D1,WO,,,
156D2,WO,,,
156D3,WO,,,
156D4,WO,,,
156D5,WO,,,
156E0,WO,,,
156F1,WO,,,
156F2,WO,,,
156F3,WO,,,
156F4,WO,,,
156G1,WO,,,
156G2,WO,,,
156H0,WO,,,
156I1,WO,,,
156I2,WO,,,
156J0,WO,,,
156K0,WO,,,
156L1,WO,,,
156L2,WO,,,
156M0,WO,,,
156N0,WO,,,
156O1,WO,,,
156O2,WO,,,
156O3,WO,,,
156P0,WO,,,
15631,NG,,,
15632,NG,,,
15633,NG,,,
15671,NG,,,
157A0,WO,,,
157B0,WO,,,
157C0,WO,,,
157D1,WO,,,
157D2,WO,,,
157E0,WO,,,
157F0,WO,,,
157G1,WO,,,
157G2,WO,,,
157H0,WO,,,
157I0,WO,,,
157J1,WO,,,
157J2,WO,,,
157K0,WO,,,
157L0,WO,,,
157M0,WO,,,
157N1,WO,,,
157N2,WO,,,
157O0,WO,,,
157P0,WO,,,
157Q0,WO,,,
157R1,WO,,,
157R2,WO,,,
157R3,WO,,,
157S0,WO,,,
157T0,WO,,,
157U0,WO,,,
157V0,WO,,,
157W1,WO,,,
157W2,WO,,,
157X0,WO,,,
157Y0,WO,,,
157Z0,WO,,,
15731,NG,,,
15732,NG,,,
15741,NG,,,
15781,NG,,,
15782,NG,,,
15783,NG,,,
15784,NG,,,
15785,NG,,,
15786,NG,,,
158A1,WO,,,
158A2,WO,,,
158A3,WO,,,
158B1,WO,,,
158B2,WO,,,
158C0,WO,,,
158D1,WO,,,
158D2,WO,,,
158D3,WO,,,
158E0,WO,,,
158F0,WO,,,
158G0,WO,,,
158H1,WO,,,
158H2,WO,,,
158I0,WO,,,
158J0,WO,,,
158K0,WO,,,
158L0,WO,,,
158M0,WO,,,
158N0,WO,,,
158O0,WO,,,
158P0,WO,,,
158Q0,WO,,,
15831,NG,,,
15841,NG,,,
159A0,WO,,,
159C1,WO,,,
159C2,WO,,,
159C3,WO,,,
159D1,WO,,,
159D2,WO,,,
159D3,WO,,,
159D4,WO,,,
159E1,WO,,,
159E2,WO,,,
159F1,WO,,,
159F2,WO,,,
159G1,WO,,,
159G2,WO,,,
159H0,WO,,,
159I1,WO,,,
159I2,WO,,,
159I3,WO,,,
159J0,WO,,,
159K1,WO,,,
159K2,WO,,,
159K3,WO,,,
159L1,WO,,,
159L2,WO,,,
159L3,WO,,,
159L4,WO,,,
159L5,WO,,,
15931,NG,,,
15941,NG,,,
15942,NG,,,
160A0,WO,,,
160B1,WO,,,
160B2,WO,,,
160C1,WO,,,
160C2,WO,,,
160C3,WO,,,
160C4,WO,,,
160C5,WO,,,
160C6,WO,,,
160C7,WO,,,
160D1,WO,,,
160D2,WO,,,
160E0,WO,,,
160F1,WO,,,
160F2,WO,,,
160F3,WO,,,
160F4,WO,,,
160F5,WO,,,
160G1,WO,,,
160G2,WO,,,
160H1,WO,,,
160H2,WO,,,
160H3,WO,,,
160J0,WO,,,
160K1,WO,,,
160K2,WO,,,
160L0,WO,,,
160M0,WO,,,
160N1,WO,,,
160N2,WO,,,
160P0,WO,,,
160Q1,WO,,,
160Q2,WO,,,
160Q3,WO,,,
160Q4,WO,,,
160Q5,WO,,,
160R0,WO,,,
160S1,WO,,,
160S2,WO,,,
160T0,WO,,,
160U1,WO,,,
160U2,WO,,,
160U3,WO,,,
160U4,WO,,,
160U5,WO,,,
160U6,WO,,,
160V1,WO,,,
160V2,WO,,,
160V3,WO,,,
16031,NG,,,
16032,NG,,,
16041,NG,,,
16042,NG,,,
161A1,WO,,,
161A2,WO,,,
161A3,WO,,,
161B0,WO,,,
161C1,WO,,,
161C2,WO,,,
161C3,WO,,,
161D1,WO,,,
161D2,WO,,,
161E1,WO,,,
161E2,WO,,,
161F1,WO,,,
161F2,WO,,,
161F3,WO,,,
161F4,WO,,,
161G1,WO,,,
161G2,WO,,,
161G3,WO,,,
161G4,WO,,,
161H1,WO,,,
161H2,WO,,,
161H3,WO,,,
161H4,WO,,,
161I1,WO,,,
161I2,WO,,,
161I3,WO,,,
161I4,WO,,,
161J0,WO,,,
161K1,WO,,,
161K2,WO,,,
161K3,WO,,,
161L1,WO,,,
161L2,WO,,,
161M1,WO,,,
161M2,WO,,,
161M3,WO,,,
16131,NG,,,
16141,NG,,,
16151,NG,,,
16191,NG,,,
162A1,WO,,,
162A2,WO,,,
162A3,WO,,,
162A4,WO,,,
162B1,WO,,,
162B2,WO,,,
162B3,WO,,,
162C1,WO,,,
162C2,WO,,,
162C3,WO,,,
162D1,WO,,,
162D2,WO,,,
162D3,WO,,,
162E1,WO,,,
162E2,WO,,,
162E3,WO,,,
16231,NG,,,
16232,NG,,,
163A1,WO,,,
163A2,WO,,,
163A3,WO,,,
163B1,WO,,,
163B2,WO,,,
163B3,WO,,,
163C0,WO,,,
163D0,WO,,,
163E0,WO,,,
163F1,WO,,,
163F2,WO,,,
163F3,WO,,,
163I1,WO,,,
163I2,WO,,,
163I3,WO,,,
163I4,WO,,,
163I5,WO,,,
163J0,WO,,,
163K0,WO,,,
163L1,WO,,,
163L2,WO,,,
163M1,WO,,,
163M2,WO,,,
163N1,WO,,,
163N2,WO,,,
163N3,WO,,,
163O0,WO,,,
163P0,WO,,,
16331,NG,,,
16332,NG,,,
16341,NG,,,
164A1,WO,,,
164A2,WO,,,
164B0,WO,,,
164C1,WO,,,
164C2,WO,,,
164C3,WO,,,
164D0,WO,,,
164E0,WO,,,
164F1,WO,,,
164F2,WO,,,
164F3,WO,,,
164G0,WO,,,
164H0,WO,,,
164I0,WO,,,
164J0,WO,,,
164K1,WO,,,
164K2,WO,,,
164L0,WO,,,
164M0,WO,,,
164N0,WO,,,
16431,NG,,,
16432,NG,,,
16441,NG,,,
16451,NG,,,
16452,NG,,,
16453,NG,,,
16454,NG,,,
165A0,WO,,,
165B1,WO,,,
165B2,WO,,,
165B3,WO,,,
165C1,WO,,,
165C2,WO,,,
165C3,WO,,,
165D0,WO,,,
165E0,WO,,,
165F0,WO,,,
165G1,WO,,,
165G2,WO,,,
165G3,WO,,,
165G4,WO,,,
165H1,WO,,,
165H2,WO,,,
165I1,WO,,,
165I2,WO,,,
165I3,WO,,,
165I4,WO,,,
165J0,WO,,,
16531,NG,,,
16541,NG,,,
16551,NG,,,
